id,facility_id,schedule_group_name,schedule_group_name_raw,schedule_changes_html
109,100,Racquet Sports,Drop-in schedule - racquet sports,
110,103,Racquet Sports,Drop-in schedule - racquet sports,
111,103,Sports,Drop-in schedule - sports,
112,104,Skating,Drop-in schedule - skating,
113,104,Ice Sports,Drop-in schedule - ice sports,
114,106,Swim And Aquafit,Drop-in schedule - swim and aquafit,
115,106,Group Fitness,Drop-in schedule - group fitness,
116,108,Sports,Drop-in schedule - sports,
117,110,Swim And Aquafit,Drop-in schedule - swim and aquafit,
118,111,Swim And Aquafit,Drop-in schedule - swim and aquafit,
119,111,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
120,111,Group Fitness,Drop-in schedule - group fitness,
121,111,Racquet Sports,Drop-in schedule - racquet sports,
122,111,Sports,Drop-in schedule - sports,
123,111,Skating,Drop-in schedule - skating,
124,114,Ice Sports,Drop-in schedule - ice sports,
125,114,Skating,Drop-in schedule - skating,
126,115,Skating,Drop-in schedule - skating,
127,115,Ice Sports,Drop-in schedule - ice sports,
128,118,Swim And Aquafit,Drop-in schedule - swim and aquafit,
129,118,Weight And Cardio Room,Drop-in schedule - weight and cardio room,
130,118,Group Fitness,Drop-in schedule - group fitness,
131,118,Racquet Sports,Drop-in schedule - racquet sports,
132,118,Sports,Drop-in schedule - sports,
133,118,Skating,Drop-in schedule - skating,
